gpu-slot: waiting for the machine-wide GPU slot at 10:24:07 from <worktree>
gpu-slot: slot taken at 10:24:07; load 17.47 29.01 29.49
loaded Ruicheng/moge-2-vitl@39c4d5e957afe587e04eec59dc2bcc3be5ecd968 in 40.3 s
<worktree>/.venv/lib/python3.11/site-packages/moge/model/modules/conv_stack.py:170: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  torch.autocast(device_type=x.device.type, dtype=torch.float32, enabled=True)
<worktree>/.venv/lib/python3.11/site-packages/moge/model/v2.py:284: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  with torch.autocast(device_type=self.device.type, dtype=torch.float32):
held3-courtyard-131/held3-courtyard-131-c1-p0: fov 50.76 (true 53.06) valid 0.998 4.33 s
<worktree>/.venv/lib/python3.11/site-packages/moge/model/modules/conv_stack.py:170: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  torch.autocast(device_type=x.device.type, dtype=torch.float32, enabled=True)
<worktree>/.venv/lib/python3.11/site-packages/moge/model/v2.py:284: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  with torch.autocast(device_type=self.device.type, dtype=torch.float32):
held3-courtyard-131/held3-courtyard-131-c1-p1: fov 53.32 (true 53.06) valid 1.000 0.97 s
held3-courtyard-131/held3-courtyard-131-c1-p2: fov 49.86 (true 53.06) valid 0.933 1.02 s
held3-courtyard-131/held3-courtyard-131-c2-p0: fov 50.90 (true 53.06) valid 0.974 1.06 s
held3-courtyard-131/held3-courtyard-131-c2-p1: fov 51.48 (true 53.06) valid 0.995 1.01 s
held3-courtyard-131/held3-courtyard-131-c2-p2: fov 53.13 (true 53.06) valid 0.969 1.36 s
held3-courtyard-131/held3-courtyard-131-c3-p0: fov 50.58 (true 53.06) valid 0.973 1.07 s
held3-courtyard-131/held3-courtyard-131-c3-p1: fov 53.65 (true 53.06) valid 1.000 1.04 s
held3-courtyard-131/held3-courtyard-131-c3-p2: fov 52.32 (true 53.06) valid 0.987 1.04 s
held3-courtyard-131/held3-courtyard-131-g1-p0: fov 52.68 (true 53.06) valid 0.998 1.07 s
held3-courtyard-131/held3-courtyard-131-g1-p1: fov 53.62 (true 53.06) valid 0.959 1.04 s
held3-courtyard-131/held3-courtyard-131-g1-p2: fov 53.48 (true 53.06) valid 0.827 1.35 s
held3-courtyard-131/held3-courtyard-131-g1-p3: fov 56.54 (true 53.06) valid 0.687 0.84 s
held3-courtyard-131/held3-courtyard-131-lo-p0: fov 54.17 (true 53.06) valid 0.891 0.91 s
held3-courtyard-131/held3-courtyard-131-lo-p1: fov 54.12 (true 53.06) valid 0.913 0.94 s
held3-courtyard-131/held3-courtyard-131-m1-p0: fov 52.99 (true 53.06) valid 0.971 0.95 s
held3-courtyard-131/held3-courtyard-131-m1-p1: fov 32.46 (true 28.03) valid 0.986 1.01 s
held3-courtyard-131/held3-courtyard-131-m1-p2: fov 23.80 (true 12.35) valid 1.000 1.00 s
held3-courtyard-131/held3-courtyard-131-m1-p3: fov 50.76 (true 53.06) valid 1.000 0.96 s
held3-courtyard-131/held3-courtyard-131-mv-p0: fov 53.45 (true 53.06) valid 0.988 1.06 s
held3-courtyard-131/held3-courtyard-131-mv-p1: fov 52.55 (true 53.06) valid 0.931 0.96 s
held3-courtyard-131/held3-courtyard-131-mv-p2: fov 51.57 (true 53.06) valid 0.990 1.00 s
held3-courtyard-131/held3-courtyard-131-mv2-p0: fov 51.00 (true 53.06) valid 1.000 0.91 s
held3-courtyard-131/held3-courtyard-131-mv2-p1: fov 50.77 (true 53.06) valid 0.986 0.94 s
held3-courtyard-131/held3-courtyard-131-mv2-p2: fov 50.50 (true 53.06) valid 0.957 0.90 s
held3-courtyard-131/held3-courtyard-131-p1-p0: fov 68.12 (true 67.30) valid 0.740 0.84 s
held3-courtyard-131/held3-courtyard-131-p1-p1: fov 62.67 (true 67.30) valid 0.970 0.92 s
held3-courtyard-131/held3-courtyard-131-p1-p2: fov 70.64 (true 67.30) valid 0.827 0.87 s
held3-courtyard-131/held3-courtyard-131-s1-p0: fov 51.42 (true 53.06) valid 0.961 0.95 s
held3-courtyard-131/held3-courtyard-131-s1-p1: fov 57.14 (true 53.06) valid 0.879 0.91 s
held3-courtyard-131/held3-courtyard-131-s1-p2: fov 51.79 (true 53.06) valid 0.977 0.91 s
held3-courtyard-131/held3-courtyard-131-s2-p0: fov 50.15 (true 53.06) valid 1.000 0.96 s
held3-courtyard-131/held3-courtyard-131-s2-p1: fov 51.05 (true 53.06) valid 0.991 0.93 s
held3-courtyard-131/held3-courtyard-131-s2-p2: fov 51.60 (true 53.06) valid 1.000 0.90 s
held3-courtyard-131/held3-courtyard-131-s2-p3: fov 49.14 (true 53.06) valid 0.942 0.89 s
held3-courtyard-131/held3-courtyard-131-s3-p0: fov 53.84 (true 53.06) valid 1.000 0.90 s
held3-courtyard-131/held3-courtyard-131-s3-p1: fov 47.58 (true 53.06) valid 0.935 0.89 s
held3-courtyard-131/held3-courtyard-131-s3-p2: fov 52.89 (true 53.06) valid 0.947 0.88 s
held3-courtyard-132/held3-courtyard-132-c1-p0: fov 52.65 (true 53.06) valid 0.979 0.89 s
held3-courtyard-132/held3-courtyard-132-c1-p1: fov 50.36 (true 53.06) valid 1.000 0.90 s
held3-courtyard-132/held3-courtyard-132-c1-p2: fov 53.21 (true 53.06) valid 1.000 0.89 s
held3-courtyard-132/held3-courtyard-132-c2-p0: fov 51.91 (true 53.06) valid 1.000 0.88 s
held3-courtyard-132/held3-courtyard-132-c2-p1: fov 53.87 (true 53.06) valid 1.000 0.89 s
held3-courtyard-132/held3-courtyard-132-c2-p2: fov 58.95 (true 53.06) valid 0.814 0.82 s
held3-courtyard-132/held3-courtyard-132-c3-p0: fov 50.54 (true 53.06) valid 0.901 0.87 s
held3-courtyard-132/held3-courtyard-132-c3-p1: fov 49.50 (true 53.06) valid 1.000 0.89 s
held3-courtyard-132/held3-courtyard-132-c3-p2: fov 51.23 (true 53.06) valid 0.966 0.89 s
held3-courtyard-132/held3-courtyard-132-g1-p0: fov 52.07 (true 53.06) valid 1.000 0.92 s
held3-courtyard-132/held3-courtyard-132-g1-p1: fov 52.31 (true 53.06) valid 1.000 0.89 s
held3-courtyard-132/held3-courtyard-132-g1-p2: fov 53.85 (true 53.06) valid 0.973 0.90 s
held3-courtyard-132/held3-courtyard-132-g1-p3: fov 51.23 (true 53.06) valid 0.976 0.90 s
held3-courtyard-132/held3-courtyard-132-lo-p0: fov 53.09 (true 53.06) valid 0.591 0.72 s
held3-courtyard-132/held3-courtyard-132-lo-p1: fov 48.08 (true 53.06) valid 0.917 0.86 s
held3-courtyard-132/held3-courtyard-132-m1-p0: fov 52.38 (true 53.06) valid 0.996 0.90 s
held3-courtyard-132/held3-courtyard-132-m1-p1: fov 31.52 (true 28.03) valid 0.983 0.89 s
held3-courtyard-132/held3-courtyard-132-m1-p2: fov 27.08 (true 12.35) valid 1.000 0.89 s
held3-courtyard-132/held3-courtyard-132-m1-p3: fov 48.03 (true 53.06) valid 0.994 0.87 s
held3-courtyard-132/held3-courtyard-132-mv-p0: fov 57.91 (true 53.06) valid 0.905 0.82 s
held3-courtyard-132/held3-courtyard-132-mv-p1: fov 54.11 (true 53.06) valid 0.799 0.77 s
held3-courtyard-132/held3-courtyard-132-mv-p2: fov 54.48 (true 53.06) valid 0.709 0.73 s
held3-courtyard-132/held3-courtyard-132-mv2-p0: fov 55.31 (true 53.06) valid 0.883 0.82 s
held3-courtyard-132/held3-courtyard-132-mv2-p1: fov 53.44 (true 53.06) valid 0.773 0.75 s
held3-courtyard-132/held3-courtyard-132-mv2-p2: fov 56.48 (true 53.06) valid 0.634 0.68 s
held3-courtyard-132/held3-courtyard-132-p1-p0: fov 67.90 (true 67.30) valid 0.901 0.81 s
held3-courtyard-132/held3-courtyard-132-p1-p1: fov 62.88 (true 67.30) valid 0.962 0.84 s
held3-courtyard-132/held3-courtyard-132-p1-p2: fov 60.93 (true 67.30) valid 0.992 0.85 s
held3-courtyard-132/held3-courtyard-132-s1-p0: fov 48.65 (true 53.06) valid 0.878 0.80 s
held3-courtyard-132/held3-courtyard-132-s1-p1: fov 53.12 (true 53.06) valid 1.000 0.86 s
held3-courtyard-132/held3-courtyard-132-s1-p2: fov 50.45 (true 53.06) valid 1.000 0.86 s
held3-courtyard-132/held3-courtyard-132-s2-p0: fov 54.01 (true 53.06) valid 1.000 0.89 s
held3-courtyard-132/held3-courtyard-132-s2-p1: fov 53.11 (true 53.06) valid 0.997 0.88 s
held3-courtyard-132/held3-courtyard-132-s2-p2: fov 54.47 (true 53.06) valid 0.788 0.76 s
held3-courtyard-132/held3-courtyard-132-s2-p3: fov 52.09 (true 53.06) valid 0.632 0.70 s
held3-courtyard-132/held3-courtyard-132-s3-p0: fov 52.74 (true 53.06) valid 1.000 0.87 s
held3-courtyard-132/held3-courtyard-132-s3-p1: fov 50.51 (true 53.06) valid 0.980 0.86 s
held3-courtyard-132/held3-courtyard-132-s3-p2: fov 49.41 (true 53.06) valid 1.000 0.88 s
held3-landscape-331/held3-landscape-331-c1-p0: fov 46.86 (true 53.06) valid 0.575 0.69 s
held3-landscape-331/held3-landscape-331-c1-p1: fov 53.07 (true 53.06) valid 0.650 0.71 s
held3-landscape-331/held3-landscape-331-c1-p2: fov 52.09 (true 53.06) valid 0.442 0.61 s
held3-landscape-331/held3-landscape-331-c2-p0: fov 53.09 (true 53.06) valid 0.695 0.72 s
held3-landscape-331/held3-landscape-331-c2-p1: fov 49.40 (true 53.06) valid 0.755 0.76 s
held3-landscape-331/held3-landscape-331-c2-p2: fov 53.92 (true 53.06) valid 0.534 0.65 s
held3-landscape-331/held3-landscape-331-c3-p0: fov 50.03 (true 53.06) valid 0.659 0.72 s
held3-landscape-331/held3-landscape-331-c3-p1: fov 54.11 (true 53.06) valid 0.513 0.65 s
held3-landscape-331/held3-landscape-331-c3-p2: fov 51.68 (true 53.06) valid 0.641 0.74 s
held3-landscape-331/held3-landscape-331-g1-p0: fov 49.91 (true 53.06) valid 0.815 0.82 s
held3-landscape-331/held3-landscape-331-g1-p1: fov 49.25 (true 53.06) valid 0.788 0.77 s
held3-landscape-331/held3-landscape-331-g1-p2: fov 51.37 (true 53.06) valid 0.304 0.53 s
held3-landscape-331/held3-landscape-331-g1-p3: fov 51.36 (true 53.06) valid 0.414 0.58 s
held3-landscape-331/held3-landscape-331-lo-p0: fov 56.02 (true 53.06) valid 0.615 0.66 s
held3-landscape-331/held3-landscape-331-lo-p1: fov 52.16 (true 53.06) valid 0.587 0.66 s
held3-landscape-331/held3-landscape-331-m1-p0: fov 43.30 (true 53.06) valid 0.735 0.73 s
held3-landscape-331/held3-landscape-331-m1-p1: fov 33.33 (true 28.03) valid 0.787 0.76 s
held3-landscape-331/held3-landscape-331-m1-p2: fov 31.13 (true 12.35) valid 1.000 0.87 s
held3-landscape-331/held3-landscape-331-m1-p3: fov 49.14 (true 53.06) valid 0.601 0.68 s
held3-landscape-331/held3-landscape-331-mv-p0: fov 52.23 (true 53.06) valid 0.751 0.81 s
held3-landscape-331/held3-landscape-331-mv-p1: fov 55.86 (true 53.06) valid 0.649 0.72 s
held3-landscape-331/held3-landscape-331-mv-p2: fov 50.72 (true 53.06) valid 0.733 0.74 s
held3-landscape-331/held3-landscape-331-mv2-p0: fov 59.25 (true 53.06) valid 0.660 0.69 s
held3-landscape-331/held3-landscape-331-mv2-p1: fov 49.20 (true 53.06) valid 0.678 0.72 s
held3-landscape-331/held3-landscape-331-mv2-p2: fov 49.99 (true 53.06) valid 0.613 0.71 s
held3-landscape-331/held3-landscape-331-p1-p0: fov 61.67 (true 67.30) valid 0.444 0.63 s
held3-landscape-331/held3-landscape-331-p1-p1: fov 60.32 (true 67.30) valid 0.623 0.74 s
held3-landscape-331/held3-landscape-331-p1-p2: fov 63.70 (true 67.30) valid 0.641 0.85 s
held3-landscape-331/held3-landscape-331-s1-p0: fov 52.53 (true 53.06) valid 0.399 0.61 s
held3-landscape-331/held3-landscape-331-s1-p1: fov 48.96 (true 53.06) valid 0.637 0.72 s
held3-landscape-331/held3-landscape-331-s1-p2: fov 50.62 (true 53.06) valid 0.839 0.86 s
held3-landscape-331/held3-landscape-331-s2-p0: fov 42.99 (true 53.06) valid 0.617 0.76 s
held3-landscape-331/held3-landscape-331-s2-p1: fov 48.75 (true 53.06) valid 0.747 0.77 s
